Gene stable ID	Gene name	Macaque gene stable ID	Macaque gene name	Macaque homology type
ENSG00000198888	MT-ND1	ENSMMUG00000065372	ND1	ortholog_one2many
ENSG00000198888	MT-ND1	ENSMMUG00000028699		ortholog_one2many
ENSG00000198763	MT-ND2	ENSMMUG00000065356	ND2	ortholog_one2one
ENSG00000198804	MT-CO1	ENSMMUG00000065358	COX1	ortholog_one2one
ENSG00000198712	MT-CO2	ENSMMUG00000065380	COX2	ortholog_one2one
ENSG00000228253	MT-ATP8	ENSMMUG00000065383	ATP8	ortholog_one2one
ENSG00000198899	MT-ATP6	ENSMMUG00000065375	ATP6	ortholog_one2one
ENSG00000198938	MT-CO3	ENSMMUG00000065366	COX3	ortholog_one2one
ENSG00000198840	MT-ND3	ENSMMUG00000065353	ND3	ortholog_one2one
ENSG00000212907	MT-ND4L	ENSMMUG00000065379	ND4L	ortholog_one2one
ENSG00000198886	MT-ND4	ENSMMUG00000065387	ND4	ortholog_one2one
ENSG00000198786	MT-ND5	ENSMMUG00000065354	ND5	ortholog_one2one
ENSG00000198695	MT-ND6	ENSMMUG00000050414		ortholog_one2many
ENSG00000198695	MT-ND6	ENSMMUG00000062894		ortholog_one2many
ENSG00000198695	MT-ND6	ENSMMUG00000063316		ortholog_one2many
ENSG00000198695	MT-ND6	ENSMMUG00000065359	ND6	ortholog_one2many
ENSG00000198695	MT-ND6	ENSMMUG00000028672		ortholog_one2many
ENSG00000198695	MT-ND6	ENSMMUG00000056709		ortholog_one2many
ENSG00000198695	MT-ND6	ENSMMUG00000063555		ortholog_one2many
ENSG00000198727	MT-CYB	ENSMMUG00000065382	CYTB	ortholog_one2one
ENSG00000271254		ENSMMUG00000055415		ortholog_one2many
ENSG00000278294	5_8S_rRNA	ENSMMUG00000026258	5_8S_rRNA	ortholog_one2many
ENSG00000277630		ENSMMUG00000041125		ortholog_many2many
ENSG00000277630		ENSMMUG00000051740		ortholog_many2many
ENSG00000277630		ENSMMUG00000055704		ortholog_many2many
ENSG00000277630		ENSMMUG00000059510		ortholog_many2many
ENSG00000277630		ENSMMUG00000064689		ortholog_many2many
ENSG00000278625	U6	ENSMMUG00000061113	U6	ortholog_many2many
ENSG00000278625	U6	ENSMMUG00000060071	U6	ortholog_many2many
ENSG00000277196		ENSMMUG00000041787		ortholog_one2many
ENSG00000278793	U6	ENSMMUG00000059311	U6	ortholog_many2many
ENSG00000278793	U6	ENSMMUG00000055974	U6	ortholog_many2many
ENSG00000278793	U6	ENSMMUG00000055824	U6	ortholog_many2many
ENSG00000278793	U6	ENSMMUG00000054230	U6	ortholog_many2many
ENSG00000278817		ENSMMUG00000000560	DGCR6L	ortholog_many2many
ENSG00000278817		ENSMMUG00000060325		ortholog_many2many
ENSG00000276017		ENSMMUG00000064670		ortholog_one2many
ENSG00000278633		ENSMMUG00000064670		ortholog_one2many
ENSG00000277374	U1	ENSMMUG00000026747	U1	ortholog_one2many
ENSG00000276700	RNA5-8SN4	ENSMMUG00000049815	5_8S_rRNA	ortholog_one2many
ENSG00000275757	5_8S_rRNA	ENSMMUG00000049815	5_8S_rRNA	ortholog_one2many
ENSG00000276345		ENSMMUG00000031268	MRPL23	ortholog_one2many
ENSG00000277856		ENSMMUG00000064733		ortholog_many2many
ENSG00000277856		ENSMMUG00000051006		ortholog_many2many
ENSG00000277856		ENSMMUG00000061294		ortholog_many2many
ENSG00000273554		ENSMMUG00000012742	SLC6A8	ortholog_one2many
ENSG00000278782		ENSMMUG00000051725		ortholog_one2many
ENSG00000278782		ENSMMUG00000051702		ortholog_one2many
ENSG00000277761		ENSMMUG00000055207		ortholog_one2many
ENSG00000233803	TSPY4	ENSMMUG00000038984		ortholog_many2many
ENSG00000233803	TSPY4	ENSMMUG00000041274		ortholog_many2many
ENSG00000233803	TSPY4	ENSMMUG00000049217		ortholog_many2many
ENSG00000129862	VCY1B	ENSMMUG00000059835		ortholog_many2many
ENSG00000129862	VCY1B	ENSMMUG00000051504		ortholog_many2many
