Gene stable ID	Gene name	Pig gene stable ID	Pig gene name	Pig homology type
ENSG00000198888	MT-ND1	ENSSSCG00000018065	ND1	ortholog_one2one
ENSG00000198763	MT-ND2	ENSSSCG00000018069	ND2	ortholog_one2one
ENSG00000198804	MT-CO1	ENSSSCG00000018075	COX1	ortholog_one2one
ENSG00000198712	MT-CO2	ENSSSCG00000018078	COX2	ortholog_one2one
ENSG00000228253	MT-ATP8	ENSSSCG00000018080	ATP8	ortholog_one2one
ENSG00000198899	MT-ATP6	ENSSSCG00000018081	ATP6	ortholog_one2one
ENSG00000198938	MT-CO3	ENSSSCG00000018082	COX3	ortholog_one2one
ENSG00000198840	MT-ND3	ENSSSCG00000018084	ND3	ortholog_one2one
ENSG00000212907	MT-ND4L	ENSSSCG00000018086	ND4L	ortholog_one2one
ENSG00000198886	MT-ND4	ENSSSCG00000018087	ND4	ortholog_one2one
ENSG00000198786	MT-ND5	ENSSSCG00000018091	ND5	ortholog_one2one
ENSG00000198695	MT-ND6	ENSSSCG00000018092	ND6	ortholog_one2one
ENSG00000198727	MT-CYB	ENSSSCG00000018094	CYTB	ortholog_one2one
ENSG00000271254		ENSSSCG00000039339		ortholog_one2many
ENSG00000277196		ENSSSCG00000033787		ortholog_one2many
ENSG00000276017		ENSSSCG00000044074		ortholog_one2many
ENSG00000278633		ENSSSCG00000044074		ortholog_one2many
ENSG00000276700	RNA5-8SN4	ENSSSCG00000036779	5_8S_rRNA	ortholog_one2many
ENSG00000275757	5_8S_rRNA	ENSSSCG00000036779	5_8S_rRNA	ortholog_one2many
ENSG00000276345		ENSSSCG00000038364		ortholog_one2many
ENSG00000273554		ENSSSCG00000012771	SLC6A8	ortholog_one2many
ENSG00000278782		ENSSSCG00000040091		ortholog_one2one
ENSG00000277761		ENSSSCG00000038204		ortholog_many2many
ENSG00000277761		ENSSSCG00000037913		ortholog_many2many
ENSG00000277761		ENSSSCG00000039741		ortholog_many2many
ENSG00000277761		ENSSSCG00000032419		ortholog_many2many
ENSG00000233803	TSPY4	ENSSSCG00000023819		ortholog_one2many
ENSG00000114374	USP9Y	ENSSSCG00000027046		ortholog_one2many
ENSG00000114374	USP9Y	ENSSSCG00000021305		ortholog_one2many
ENSG00000092377	TBL1Y	ENSSSCG00000012102		ortholog_many2many
ENSG00000092377	TBL1Y	ENSSSCG00000038226		ortholog_many2many
ENSG00000238074	TSPY9P	ENSSSCG00000023819		ortholog_one2many
ENSG00000205944	DAZ2	ENSSSCG00000030671		ortholog_one2many
ENSG00000236424	TSPY10	ENSSSCG00000023819		ortholog_one2many
ENSG00000258992	TSPY1	ENSSSCG00000023819		ortholog_one2many
ENSG00000099715	PCDH11Y	ENSSSCG00000029771		ortholog_one2many
ENSG00000165246	NLGN4Y	ENSSSCG00000032439		ortholog_many2many
ENSG00000165246	NLGN4Y	ENSSSCG00000033643		ortholog_many2many
ENSG00000168757	TSPY2	ENSSSCG00000023819		ortholog_one2many
ENSG00000251917	RNU1-86P	ENSSSCG00000019927	U1	ortholog_many2many
ENSG00000251917	RNU1-86P	ENSSSCG00000019697	U1	ortholog_many2many
ENSG00000252426	RNU1-107P	ENSSSCG00000019927	U1	ortholog_many2many
ENSG00000252426	RNU1-107P	ENSSSCG00000019697	U1	ortholog_many2many
ENSG00000252625	RNU1-40P	ENSSSCG00000019927	U1	ortholog_many2many
ENSG00000252625	RNU1-40P	ENSSSCG00000019697	U1	ortholog_many2many
ENSG00000252681	RNU1-97P	ENSSSCG00000019927	U1	ortholog_many2many
ENSG00000252681	RNU1-97P	ENSSSCG00000019697	U1	ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000051215		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000049276		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000032210		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000041750		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000041323		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000042971		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000042334		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000031994		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000051413		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000036112		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000045761		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000046447		ortholog_many2many
